"Add special product by sku","Add special product by sku"
"Back list","Back list"
"Button add to cart","Button add to cart"
"Click on image to zoom","Click on image to zoom"
"Display navigation product","Display navigation product"
"Enabled custom media for product view","Enabled custom media for product view"
"Enabled redirect simple product to configurable product","Enabled redirect simple product to configurable product"
"Lifetime cache navigation product","Lifetime cache navigation product"
"Link","Link"
"More Views","More Views"
"Next","Next"
"None","None"
"Picture","Picture"
"Previous","Previous"
"Product","Product"
"Text","Text"
"Time in second","Time in second"
"Title","Title"
"Url image","Url image"
