"Add special product by sku","Ajouter un produit spécial par son sku"
"Back list","Retour liste"
"Button add to cart","Bouton d'ajout au panier"
"Click on image to zoom","Cliquer sur l'image pour zoomer"
"Display navigation product","Afficher la navigation produit"
"Enabled custom media for product view","Activer les médias personnalisés pour la fiche produit"
"Enabled redirect simple product to configurable product","Activer la redirection des produits simples vers les produits configurables."
"Lifetime cache navigation product","Temps de vie du cache de navigation produit"
"Link","Lien"
"More Views","Plus de détails"
"Next","Suivant"
"None","Aucune"
"Picture","Image"
"Previous","Précédent"
"Product","Produit"
"Text","Texte"
"Time in second","Temps en seconde"
"Title","Titre"
"Url image","Url image"
